"STATE_NAME","GEOID","event_type","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1041,"Extreme Cold Event",2020,3,73365.9,126456.4
"Alabama",1041,"Extreme Cold Event",2022,3,219385.2,0
"Alabama",1041,"Extreme Heat Event",2011,1,1482.3,NA
"Alabama",1041,"Extreme Heat Event",2019,3,5576.6,4214.2
"Alabama",1043,"Extreme Cold Event",2009,7,118810.2,120574.1
"Alabama",1043,"Extreme Cold Event",2010,10,240925,79000.3
"Alabama",1043,"Extreme Cold Event",2011,2,117391.1,161246.3
"Alabama",1043,"Extreme Cold Event",2012,3,3372.8,0
"Alabama",1043,"Extreme Cold Event",2014,8,231046.6,93632.5
"Alabama",1043,"Extreme Cold Event",2015,4,240126.9,91916.2
"Alabama",1043,"Extreme Cold Event",2017,3,284719.7,2364.8
"Alabama",1043,"Extreme Cold Event",2018,7,286085,0
"Alabama",1043,"Extreme Cold Event",2020,4,72164.9,142613.4
"Alabama",1043,"Extreme Cold Event",2021,1,190596,NA
"Alabama",1043,"Extreme Cold Event",2022,5,266303,42347.4
"Alabama",1043,"Extreme Heat Event",2010,6,26650,14464
"Alabama",1043,"Extreme Heat Event",2011,8,66449,55244.9
"Alabama",1043,"Extreme Heat Event",2012,13,40611.8,11739.5
"Alabama",1043,"Extreme Heat Event",2022,7,46169.2,47825
"Alabama",1045,"Extreme Cold Event",2008,1,200716.3,NA
"Alabama",1045,"Extreme Cold Event",2009,5,161755.6,87118.7
"Alabama",1045,"Extreme Cold Event",2010,13,174452.7,64108.7
"Alabama",1045,"Extreme Cold Event",2012,4,30002.8,0
"Alabama",1045,"Extreme Cold Event",2013,4,200716.3,0
"Alabama",1045,"Extreme Cold Event",2014,5,133123.4,94339.1
"Alabama",1045,"Extreme Cold Event",2015,3,200716.3,0
"Alabama",1045,"Extreme Cold Event",2016,2,129135.6,101230.4
"Alabama",1045,"Extreme Cold Event",2017,5,69655.9,74230
"Alabama",1045,"Extreme Cold Event",2018,7,176328.7,64523.6
"Alabama",1045,"Extreme Cold Event",2020,4,164925.9,71580.7
"Alabama",1045,"Extreme Cold Event",2022,3,200716.3,0
"Alabama",1045,"Extreme Heat Event",2009,11,13472.6,7763.9
"Alabama",1045,"Extreme Heat Event",2010,13,7221.9,5703.6
"Alabama",1045,"Extreme Heat Event",2011,13,8232.2,6860.9
"Alabama",1045,"Extreme Heat Event",2015,9,4588.9,3134.3
"Alabama",1045,"Extreme Heat Event",2017,3,6964.6,2891.4
"Alabama",1045,"Extreme Heat Event",2019,7,83068.4,73287.8
"Alabama",1045,"Extreme Heat Event",2020,5,3231.8,1651
"Alabama",1045,"Extreme Heat Event",2021,8,40673,57197.4
"Alabama",1045,"Extreme Heat Event",2022,7,57976.4,79145.4
"Alabama",1047,"Extreme Cold Event",2009,3,253701.7,19342
"Alabama",1047,"Extreme Cold Event",2010,8,261444,7281.2
"Alabama",1047,"Extreme Cold Event",2011,1,5058.8,NA
"Alabama",1047,"Extreme Cold Event",2014,4,282757.4,53840.6
"Alabama",1047,"Extreme Cold Event",2015,3,320944.4,70315.5
"Alabama",1047,"Extreme Cold Event",2017,2,339906.6,30595.8
"Alabama",1047,"Extreme Cold Event",2018,7,361541.1,0
"Alabama",1047,"Extreme Cold Event",2020,1,361541.1,NA
"Alabama",1047,"Extreme Cold Event",2022,3,361541.1,0
"Alabama",1047,"Extreme Heat Event",2021,8,5062.5,3754.2
"Alabama",1047,"Extreme Heat Event",2022,4,625,298.6
"Alabama",1049,"Extreme Cold Event",2009,3,210841.1,149877.6
"Alabama",1049,"Extreme Cold Event",2010,8,157425.3,111216.1
"Alabama",1049,"Extreme Cold Event",2014,5,293594,8450.2
"Alabama",1049,"Extreme Cold Event",2015,5,251431.5,62908
"Alabama",1049,"Extreme Cold Event",2016,1,196396.1,NA
"Alabama",1049,"Extreme Cold Event",2017,2,297373,0
"Alabama",1049,"Extreme Cold Event",2018,8,295011.1,6680.5
"Alabama",1049,"Extreme Cold Event",2020,1,297373,NA
"Alabama",1049,"Extreme Cold Event",2022,4,297071.9,602.2
"Alabama",1049,"Extreme Heat Event",2015,2,8446.1,3018.3
"Alabama",1049,"Extreme Heat Event",2017,3,7404.2,5111.1
"Alabama",1049,"Extreme Heat Event",2022,14,16603.7,8534.4
"Alabama",1051,"Extreme Cold Event",2009,4,217909.2,45052.3
"Alabama",1051,"Extreme Cold Event",2010,9,239798.1,1911.8
"Alabama",1051,"Extreme Cold Event",2014,5,223338.2,38230.5
"Alabama",1051,"Extreme Cold Event",2015,4,217909.2,45052.3
"Alabama",1051,"Extreme Cold Event",2017,2,240435.4,0
"Alabama",1051,"Extreme Cold Event",2018,8,229172.3,31856.8
"Alabama",1051,"Extreme Cold Event",2020,1,240435.4,NA
"Alabama",1051,"Extreme Cold Event",2022,3,240435.4,0
"Alabama",1051,"Extreme Heat Event",2008,1,3179.2,NA
"Alabama",1051,"Extreme Heat Event",2009,1,4780.6,NA
"Alabama",1051,"Extreme Heat Event",2010,4,24974.1,42620.7
"Alabama",1051,"Extreme Heat Event",2011,12,64930.2,86939.9
"Alabama",1051,"Extreme Heat Event",2014,1,1533.3,NA
"Alabama",1051,"Extreme Heat Event",2016,9,2669.8,2626.3
"Alabama",1051,"Extreme Heat Event",2019,3,135555,117383.3
"Alabama",1051,"Extreme Heat Event",2022,3,13252.5,5975.1
"Alabama",1053,"Extreme Cold Event",2009,3,333995.1,6653.2
"Alabama",1053,"Extreme Cold Event",2010,11,287466.9,102336.4
"Alabama",1053,"Extreme Cold Event",2011,1,337836.3,NA
"Alabama",1053,"Extreme Cold Event",2012,1,91128.9,NA
"Alabama",1053,"Extreme Cold Event",2014,3,337836.3,0
"Alabama",1053,"Extreme Cold Event",2015,3,333995.1,6653.2
"Alabama",1053,"Extreme Cold Event",2017,1,336156.2,NA
"Alabama",1053,"Extreme Cold Event",2018,7,287716.5,125801.9
"Alabama",1053,"Extreme Cold Event",2020,1,337836.3,NA
"Alabama",1053,"Extreme Cold Event",2022,3,334826,5214.1
"Alabama",1053,"Extreme Heat Event",2011,2,1928.9,1183.6
"Alabama",1053,"Extreme Heat Event",2019,1,590.3,NA
"Alabama",1055,"Extreme Cold Event",2009,5,207516,0
"Alabama",1055,"Extreme Cold Event",2010,8,164871.4,75806.3
"Alabama",1055,"Extreme Cold Event",2014,5,182862,55127.9
"Alabama",1055,"Extreme Cold Event",2015,3,207516,0
"Alabama",1055,"Extreme Cold Event",2017,3,138910.1,118828.9
